id,name,category,brand,weight,package_size,keywords,description,price,image_url
P0011,Сыр чеддер для бургера «Orange Field» 400г,Сыры,Orange Field,400,1,сыр чеддер cheddar 5kg orange field длябургера,Для бургера сыр чеддер бренда Orange Field в категории сыры.,986.70,https://example.com/p/P0011.jpg
P0012,Йогурт греческий черника «Mediterran» 140г,Молочные продукты,Mediterran,140,1,йогурт греческий greek mediterran черника,Черника йогурт греческий бренда Mediterran в категории молочные продукты.,260.80,https://example.com/p/P0012.jpg
P0013,Адаптер USB-C 35W «TechNode» 1шт,Электроника,TechNode,1,2,adapter usb c type-c зарядное technode 35w,35w адаптер usb-c бренда TechNode в категории электроника.,1118.61,https://example.com/p/P0013.jpg
P0014,Макароны из твердых сортов penne «La Linea» 5кг,Бакалея,La Linea,5,10,макароны паста durum pasta la linea penne,Penne макароны из твердых сортов бренда La Linea в категории бакалея.,340.99,https://example.com/p/P0014.jpg
P0015,Мармелад жевательный витаминный «Happy Llama» 75г,Кондитерские изделия,Happy Llama,75,1,мармелад bon paris gummies happy llama витаминный,Витаминный мармелад жевательный бренда Happy Llama в категории кондитерские изделия.,213.47,https://example.com/p/P0015.jpg
P0016,Минеральная вода premium glass «Aqua Pura» 750мл,Напитки,Aqua Pura,750,6,вода минеральная sanpellegrino sparkling aqua pura premiumglass,Premium glass минеральная вода бренда Aqua Pura в категории напитки.,270.07,https://example.com/p/P0016.jpg
P0017,Сыр чеддер mature «ChefPro» 400г,Сыры,ChefPro,400,4,сыр чеддер cheddar 5kg chefpro mature,Mature сыр чеддер бренда ChefPro в категории сыры.,1348.97,https://example.com/p/P0017.jpg
P0018,Крем для рук антибактериальный «Atelier Skin» 50мл,Косметика и гигиена,Atelier Skin,50,12,крем для рук hand cream atelier skin антибактериальный,Антибактериальный крем для рук бренда Atelier Skin в категории косметика и гигиена.,465.25,https://example.com/p/P0018.jpg
P0019,Пюре фруктовое злаки «Little Spoon» 120г,Детские товары,Little Spoon,120,12,пюре детское puree little spoon злаки,Злаки пюре фруктовое бренда Little Spoon в категории детские товары.,123.38,https://example.com/p/P0019.jpg
P0020,Энергетический напиток zero «Litl Energy» 250мл,Напитки,Litl Energy,250,12,energy литл энергетик litl energy zero,Zero энергетический напиток бренда Litl Energy в категории напитки.,202.79,https://example.com/p/P0020.jpg
P0021,Витаминный комплекс omega «VitaCore» 60табл.,Аптека,VitaCore,60,1,витамины комплекс supplement vitacore omega,Omega витаминный комплекс бренда VitaCore в категории аптека.,370.11,https://example.com/p/P0021.jpg
P0022,Корм для кошек сухой sterilised «PerfectTail» 400г,Зоотовары,PerfectTail,400,4,корм кошек cat food adult perfecttail sterilised,Sterilised корм для кошек сухой бренда PerfectTail в категории зоотовары.,3988.33,https://example.com/p/P0022.jpg
P0023,Масло оливковое Extra Virgin «Gusto» 500мл,Бакалея,Gusto,500,4,масло оливковое olive oil gusto extravirgin,Extra virgin масло оливковое бренда Gusto в категории бакалея.,1725.54,https://example.com/p/P0023.jpg
P0024,Зубная паста fresh mint «ProDent» 75мл,Косметика и гигиена,ProDent,75,6,зубная паста toothpaste prodent freshmint,Fresh mint зубная паста бренда ProDent в категории косметика и гигиена.,306.33,https://example.com/p/P0024.jpg
P0025,Мороженое пломбир фисташка «CreamLab» 450г,Мороженое,CreamLab,450,4,мороженое ice cream пломбир creamlab фисташка,Фисташка мороженое пломбир бренда CreamLab в категории мороженое.,436.33,https://example.com/p/P0025.jpg
P0026,Сыр гауда кусок «Dutch Yard» 200г,Сыры,Dutch Yard,200,2,сыр гауда gouda dutch yard кусок,Кусок сыр гауда бренда Dutch Yard в категории сыры.,274.27,https://example.com/p/P0026.jpg
P0027,Зубная паста sensitive «ProDent» 75мл,Косметика и гигиена,ProDent,75,6,зубная паста toothpaste prodent sensitive,Sensitive зубная паста бренда ProDent в категории косметика и гигиена.,268.96,https://example.com/p/P0027.jpg
P0028,Мармелад жевательный ягодный «Bon Paris» 75г,Кондитерские изделия,Bon Paris,75,12,мармелад bon paris gummies ягодный,Ягодный мармелад жевательный бренда Bon Paris в категории кондитерские изделия.,94.46,https://example.com/p/P0028.jpg
P0029,Лапша быстрого приготовления курица «UrbanFood» 100г,Бакалея,UrbanFood,100,24,лапша инстант ramen urbanfood курица,Курица лапша быстрого приготовления бренда UrbanFood в категории бакалея.,83.98,https://example.com/p/P0029.jpg
P0030,Подгузники детские premium «Huggsy» 26шт,Детские товары,Huggsy,26,1,подгузники памперсы diapers huggsy premium,Premium подгузники детские бренда Huggsy в категории детские товары.,1582.76,https://example.com/p/P0030.jpg
P0031,Полотенца бумажные эко «MaxiRoll» 2шт,Хозяйственные товары,MaxiRoll,2,6,бумажные полотенца paper towels maxiroll эко,Эко полотенца бумажные бренда MaxiRoll в категории хозяйственные товары.,301.83,https://example.com/p/P0031.jpg
P0032,Кофе капсулы ristretto «Ristretto Lab» 30капс.,Кофе и чай,Ristretto Lab,30,2,кофе капсулы capsules ristretto lab ristretto,Ristretto кофе капсулы бренда Ristretto Lab в категории кофе и чай.,1590.89,https://example.com/p/P0032.jpg
P0033,Мука пшеничная цельнозерновая «Alfa Mill» 2000г,Бакалея,Alfa Mill,2000,1,мука пшеничная flour alfa mill цельнозерновая,Цельнозерновая мука пшеничная бренда Alfa Mill в категории бакалея.,923.53,https://example.com/p/P0033.jpg
P0034,Гель для душа цитрус «Sense» 750мл,Косметика и гигиена,Sense,750,6,гель душ body wash sense цитрус,Цитрус гель для душа бренда Sense в категории косметика и гигиена.,134.35,https://example.com/p/P0034.jpg
P0035,Кофе капсулы ristretto «Ristretto Lab» 10капс.,Кофе и чай,Ristretto Lab,10,2,кофе капсулы capsules ristretto lab ristretto,Ristretto кофе капсулы бренда Ristretto Lab в категории кофе и чай.,1118.46,https://example.com/p/P0035.jpg
P0036,Шоколад премиальный 70% «Nordic Choco» 200г,Кондитерские изделия,Nordic Choco,200,1,шоколад bon paris chocolate nordic choco 70%,70% шоколад премиальный бренда Nordic Choco в категории кондитерские изделия.,513.52,https://example.com/p/P0036.jpg
P0037,Пюре фруктовое тыква «Organic Kid» 120г,Детские товары,Organic Kid,120,24,пюре детское puree organic kid тыква,Тыква пюре фруктовое бренда Organic Kid в категории детские товары.,139.52,https://example.com/p/P0037.jpg
P0038,Зубная паста sensitive «KidsDent» 100мл,Косметика и гигиена,KidsDent,100,1,зубная паста toothpaste kidsdent sensitive,Sensitive зубная паста бренда KidsDent в категории косметика и гигиена.,370.58,https://example.com/p/P0038.jpg
P0039,Кабель USB-C PD 100W «ChargeLab» 1шт,Электроника,ChargeLab,1,3,кабель usb type c adapter chargelab pd100w,Pd 100w кабель usb-c бренда ChargeLab в категории электроника.,523.75,https://example.com/p/P0039.jpg
P0040,Витаминный комплекс иммунитет «DailyVits» 30табл.,Аптека,DailyVits,30,1,витамины комплекс supplement dailyvits иммунитет,Иммунитет витаминный комплекс бренда DailyVits в категории аптека.,1148.01,https://example.com/p/P0040.jpg
P0041,Салат готовый vegan «CityLunch» 300г,Готовая еда,CityLunch,300,1,салат готовый salad citylunch vegan,Vegan салат готовый бренда CityLunch в категории готовая еда.,364.20,https://example.com/p/P0041.jpg
P0042,Йогурт греческий натуральный «Mykonos» 900г,Молочные продукты,Mykonos,900,12,йогурт греческий greek mykonos натуральный,Натуральный йогурт греческий бренда Mykonos в категории молочные продукты.,174.53,https://example.com/p/P0042.jpg
P0043,Пюре фруктовое тыква «Little Spoon» 100г,Детские товары,Little Spoon,100,12,пюре детское puree little spoon тыква,Тыква пюре фруктовое бренда Little Spoon в категории детские товары.,48.74,https://example.com/p/P0043.jpg
P0044,Кофе капсулы latte «BaristaPro» 10капс.,Кофе и чай,BaristaPro,10,1,кофе капсулы capsules baristapro latte,Latte кофе капсулы бренда BaristaPro в категории кофе и чай.,1077.43,https://example.com/p/P0044.jpg
P0045,Адаптер USB-C 65W «ChargeLab» 1шт,Электроника,ChargeLab,1,1,adapter usb c type-c зарядное chargelab 65w,65w адаптер usb-c бренда ChargeLab в категории электроника.,3489.78,https://example.com/p/P0045.jpg
P0046,Масло подсолнечное premium «Южное» 900мл,Бакалея,Южное,900,3,масло подсолнечное растительное sunflower 10л южное premium,Premium масло подсолнечное бренда Южное в категории бакалея.,1519.03,https://example.com/p/P0046.jpg
P0047,Рыба минтай блок филе «ChefPro» 5кг,Заморозка,ChefPro,5,1,рыба минтай block chefpro филе,Филе рыба минтай блок бренда ChefPro в категории заморозка.,1691.83,https://example.com/p/P0047.jpg
P0048,Мука пшеничная натуральная «Alfa Mill» 25кг,Бакалея,Alfa Mill,25,1,мука пшеничная flour alfa mill натуральная,Натуральная мука пшеничная бренда Alfa Mill в категории бакалея.,1525.34,https://example.com/p/P0048.jpg
P0049,Шоколад премиальный без сахара «Lattea» 100г,Кондитерские изделия,Lattea,100,1,шоколад bon paris chocolate lattea безсахара,Без сахара шоколад премиальный бренда Lattea в категории кондитерские изделия.,119.70,https://example.com/p/P0049.jpg
P0050,Стейк лосося шоковая заморозка «AquaChef» 400г,Рыба и морепродукты,AquaChef,400,1,лосось стейк salmon aquachef шоковаязаморозка,Шоковая заморозка стейк лосося бренда AquaChef в категории рыба и морепродукты.,2435.13,https://example.com/p/P0050.jpg
P0051,Пюре фруктовое без сахара «Little Spoon» 120г,Детские товары,Little Spoon,120,1,пюре детское puree little spoon безсахара,Без сахара пюре фруктовое бренда Little Spoon в категории детские товары.,46.75,https://example.com/p/P0051.jpg
P0052,Мороженое пломбир ваниль «CreamLab» 90г,Мороженое,CreamLab,90,4,мороженое ice cream пломбир creamlab ваниль,Ваниль мороженое пломбир бренда CreamLab в категории мороженое.,100.44,https://example.com/p/P0052.jpg
P0053,Средство для мытья посуды лимон «BioClean» 750мл,Бытовая химия,BioClean,750,6,моющее посуд dish посудомойка bioclean лимон,Лимон средство для мытья посуды бренда BioClean в категории бытовая химия.,149.12,https://example.com/p/P0053.jpg
P0054,Мука пшеничная HoReCa 25 кг «BakeryPro» 900г,Бакалея,BakeryPro,900,1,мука пшеничная flour bakerypro horeca25кг,Horeca 25 кг мука пшеничная бренда BakeryPro в категории бакалея.,2051.58,https://example.com/p/P0054.jpg
P0055,Протеиновый батончик vegan «FitFuel» 40г,Здоровое питание,FitFuel,40,24,батончик protein протеиновый fitfuel vegan,Vegan протеиновый батончик бренда FitFuel в категории здоровое питание.,245.58,https://example.com/p/P0055.jpg
P0056,Фиточай мята «Altai» 20саше,Кофе и чай,Altai,20,4,фиточай herbal tea altai мята,Мята фиточай бренда Altai в категории кофе и чай.,124.78,https://example.com/p/P0056.jpg
P0057,Йогурт греческий без сахара «Ionian» 500г,Молочные продукты,Ionian,500,4,йогурт греческий greek ionian безсахара,Без сахара йогурт греческий бренда Ionian в категории молочные продукты.,126.45,https://example.com/p/P0057.jpg
P0058,Фиточай мята «Greenfield» 120г,Кофе и чай,Greenfield,120,1,фиточай herbal tea greenfield мята,Мята фиточай бренда Greenfield в категории кофе и чай.,220.89,https://example.com/p/P0058.jpg
P0059,Гель для душа men «Nordic Care» 750мл,Косметика и гигиена,Nordic Care,750,6,гель душ body wash nordic care men,Men гель для душа бренда Nordic Care в категории косметика и гигиена.,453.20,https://example.com/p/P0059.jpg
P0060,Шампунь питательный для объема «Pure Roots» 500мл,Косметика и гигиена,Pure Roots,500,1,шампунь hair shampoo pure roots дляобъема,Для объема шампунь питательный бренда Pure Roots в категории косметика и гигиена.,363.85,https://example.com/p/P0060.jpg
P0061,Пюре фруктовое яблоко-груша «FruitGo» 100г,Детские товары,FruitGo,100,24,пюре детское puree fruitgo яблоко-груша,Яблоко-груша пюре фруктовое бренда FruitGo в категории детские товары.,117.57,https://example.com/p/P0061.jpg
P0062,Стейк лосося дикого лосося «Polar Sea» 400г,Рыба и морепродукты,Polar Sea,400,1,лосось стейк salmon polar sea дикоголосося,Дикого лосося стейк лосося бренда Polar Sea в категории рыба и морепродукты.,2665.20,https://example.com/p/P0062.jpg
P0063,Масло сливочное крестьянское «Северное поле» 225г,Молочные продукты,Северное поле,225,2,масло сливочное butter северное поле крестьянское,Крестьянское масло сливочное бренда Северное поле в категории молочные продукты.,288.96,https://example.com/p/P0063.jpg
P0064,Лапша быстрого приготовления vegan «NoodleLab» 100г,Бакалея,NoodleLab,100,1,лапша инстант ramen noodlelab vegan,Vegan лапша быстрого приготовления бренда NoodleLab в категории бакалея.,96.18,https://example.com/p/P0064.jpg
P0065,Средство для мытья посуды концентрат «BioClean» 1500мл,Бытовая химия,BioClean,1500,6,моющее посуд dish посудомойка bioclean концентрат,Концентрат средство для мытья посуды бренда BioClean в категории бытовая химия.,162.08,https://example.com/p/P0065.jpg
P0066,Макароны из твердых сортов fusilli «La Linea» 5кг,Бакалея,La Linea,5,10,макароны паста durum pasta la linea fusilli,Fusilli макароны из твердых сортов бренда La Linea в категории бакалея.,456.56,https://example.com/p/P0066.jpg
P0067,Овощи замороженные цветная капуста «Polar Mix» 450г,Заморозка,Polar Mix,450,5,замороженные овощи frozen veggies polar mix цветнаякапуста,Цветная капуста овощи замороженные бренда Polar Mix в категории заморозка.,425.52,https://example.com/p/P0067.jpg
P0068,Power Bank slim «HyperCell» 1шт,Электроника,HyperCell,1,1,power bank 20000 быстрая зарядка hypercell slim,Slim power bank бренда HyperCell в категории электроника.,4301.46,https://example.com/p/P0068.jpg
P0069,Фиточай ромашка «Greenfield» 40саше,Кофе и чай,Greenfield,40,1,фиточай herbal tea greenfield ромашка,Ромашка фиточай бренда Greenfield в категории кофе и чай.,359.90,https://example.com/p/P0069.jpg
P0070,Салфетки влажные аромат лаванды «SoftTouch» 40шт,Косметика и гигиена,SoftTouch,40,1,салфетки влажные wipes softtouch ароматлаванды,Аромат лаванды салфетки влажные бренда SoftTouch в категории косметика и гигиена.,54.89,https://example.com/p/P0070.jpg
P0071,Подгузники детские для чувствительной кожи «Huggsy» 60шт,Детские товары,Huggsy,60,2,подгузники памперсы diapers huggsy длячувствительнойкожи,Для чувствительной кожи подгузники детские бренда Huggsy в категории детские товары.,1993.91,https://example.com/p/P0071.jpg
P0072,Адаптер USB-C gan «VoltEdge» 1шт,Электроника,VoltEdge,1,1,adapter usb c type-c зарядное voltedge gan,Gan адаптер usb-c бренда VoltEdge в категории электроника.,1132.71,https://example.com/p/P0072.jpg
P0073,Мороженое пломбир ваниль «Polar Ice» 90г,Мороженое,Polar Ice,90,1,мороженое ice cream пломбир polar ice ваниль,Ваниль мороженое пломбир бренда Polar Ice в категории мороженое.,394.79,https://example.com/p/P0073.jpg
P0074,Мороженое пломбир ваниль «Gelato+» 80г,Мороженое,Gelato+,80,4,мороженое ice cream пломбир gelato+ ваниль,Ваниль мороженое пломбир бренда Gelato+ в категории мороженое.,103.00,https://example.com/p/P0074.jpg
P0075,Сыр чеддер HoReCa 5кг «ChefPro» 5кг,Сыры,ChefPro,5,1,сыр чеддер cheddar 5kg chefpro horeca5кг,Horeca 5кг сыр чеддер бренда ChefPro в категории сыры.,2664.32,https://example.com/p/P0075.jpg
P0076,Вино игристое brut «Premium Cellar» 1500мл,Алкоголь,Premium Cellar,1500,6,вино prosecco riesling premium premium cellar brut,Brut вино игристое бренда Premium Cellar в категории алкоголь.,2442.48,https://example.com/p/P0076.jpg
P0077,Подгузники детские premium «EcoBaby» 40шт,Детские товары,EcoBaby,40,1,подгузники памперсы diapers ecobaby premium,Premium подгузники детские бренда EcoBaby в категории детские товары.,881.80,https://example.com/p/P0077.jpg
P0078,Стиральный порошок белое «SoftClean» 400г,Бытовая химия,SoftClean,400,2,стирка порошок detergent softclean белое,Белое стиральный порошок бренда SoftClean в категории бытовая химия.,1364.41,https://example.com/p/P0078.jpg
P0079,Рыба минтай блок филе «HoReCaFish» 10кг,Заморозка,HoReCaFish,10,1,рыба минтай block horecafish филе,Филе рыба минтай блок бренда HoReCaFish в категории заморозка.,2640.30,https://example.com/p/P0079.jpg
P0080,Филе грудки индейки для стейков «Золотая птица» 5кг,Мясо и птица,Золотая птица,5,5,филе индейка turkey fillet золотая птица длястейков,Для стейков филе грудки индейки бренда Золотая птица в категории мясо и птица.,1715.32,https://example.com/p/P0080.jpg
P0081,Молоко ультрапастеризованное безлактозное «FarmLab» 1л,Молочные продукты,FarmLab,1,4,молоко ультрапастеризованное milk farmlab безлактозное,Безлактозное молоко ультрапастеризованное бренда FarmLab в категории молочные продукты.,111.10,https://example.com/p/P0081.jpg
P0082,Корм для собак гипоаллергенный grain free «VetPro» 1500г,Зоотовары,VetPro,1500,1,корм собак dog food hypo vetpro grainfree,Grain free корм для собак гипоаллергенный бренда VetPro в категории зоотовары.,1702.82,https://example.com/p/P0082.jpg
P0083,Джин премиальный grapefruit «Nordic Gin» 1000мл,Алкоголь,Nordic Gin,1000,3,джин gin garage grapefruit nordic gin,Grapefruit джин премиальный бренда Nordic Gin в категории алкоголь.,4410.74,https://example.com/p/P0083.jpg
P0084,Сахар-песок рафинированный «Crystal» 900г,Бакалея,Crystal,900,5,сахар песок sugar crystal рафинированный,Рафинированный сахар-песок бренда Crystal в категории бакалея.,911.92,https://example.com/p/P0084.jpg
P0085,Лапша быстрого приготовления том ям «StreetWok» 75г,Бакалея,StreetWok,75,12,лапша инстант ramen streetwok томям,Том ям лапша быстрого приготовления бренда StreetWok в категории бакалея.,50.45,https://example.com/p/P0085.jpg
P0086,Пюре фруктовое тыква «Organic Kid» 100г,Детские товары,Organic Kid,100,12,пюре детское puree organic kid тыква,Тыква пюре фруктовое бренда Organic Kid в категории детские товары.,70.44,https://example.com/p/P0086.jpg
P0087,Корм для собак гипоаллергенный salmon «Happy Tail» 5кг,Зоотовары,Happy Tail,5,2,корм собак dog food hypo happy tail salmon,Salmon корм для собак гипоаллергенный бренда Happy Tail в категории зоотовары.,483.23,https://example.com/p/P0087.jpg
P0088,Шампунь питательный men «Herbal Line» 250мл,Косметика и гигиена,Herbal Line,250,6,шампунь hair shampoo herbal line men,Men шампунь питательный бренда Herbal Line в категории косметика и гигиена.,136.91,https://example.com/p/P0088.jpg
P0089,Молоко ультрапастеризованное 1% «Blue Valley» 1400мл,Молочные продукты,Blue Valley,1400,1,молоко ультрапастеризованное milk blue valley 1%,1% молоко ультрапастеризованное бренда Blue Valley в категории молочные продукты.,102.63,https://example.com/p/P0089.jpg
P0090,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,Алкоголь,Prosecco Alto,1500,6,вино prosecco riesling premium prosecco alto sanpellegrinospritz,Sanpellegrino spritz вино игристое бренда Prosecco Alto в категории алкоголь.,1663.79,https://example.com/p/P0090.jpg
P0091,Корм для кошек сухой hairball «NordPet» 400г,Зоотовары,NordPet,400,2,корм кошек cat food adult nordpet hairball,Hairball корм для кошек сухой бренда NordPet в категории зоотовары.,641.31,https://example.com/p/P0091.jpg
P0092,Молоко ультрапастеризованное Premium «Домашний запас» 1.5л,Молочные продукты,Домашний запас,1.5,6,молоко ультрапастеризованное milk домашний запас premium,Premium молоко ультрапастеризованное бренда Домашний запас в категории молочные продукты.,96.96,https://example.com/p/P0092.jpg
P0093,Кабель USB-C 1м «VoltEdge» 1шт,Электроника,VoltEdge,1,3,кабель usb type c adapter voltedge 1м,1м кабель usb-c бренда VoltEdge в категории электроника.,737.84,https://example.com/p/P0093.jpg
P0094,Полотенца бумажные mega roll «MaxiRoll» 6шт,Хозяйственные товары,MaxiRoll,6,1,бумажные полотенца paper towels maxiroll megaroll,Mega roll полотенца бумажные бренда MaxiRoll в категории хозяйственные товары.,368.71,https://example.com/p/P0094.jpg
P0095,Джин премиальный grapefruit «Nordic Gin» 1000мл,Алкоголь,Nordic Gin,1000,2,джин gin garage grapefruit nordic gin,Grapefruit джин премиальный бренда Nordic Gin в категории алкоголь.,4055.58,https://example.com/p/P0095.jpg
P0096,Стейк лосося premium «Nordic Fish» 5кг,Рыба и морепродукты,Nordic Fish,5,2,лосось стейк salmon nordic fish premium,Premium стейк лосося бренда Nordic Fish в категории рыба и морепродукты.,3040.61,https://example.com/p/P0096.jpg
P0097,Кабель USB-C PD 100W «FlexWire» 1шт,Электроника,FlexWire,1,2,кабель usb type c adapter flexwire pd100w,Pd 100w кабель usb-c бренда FlexWire в категории электроника.,807.14,https://example.com/p/P0097.jpg
P0098,Подгузники детские для чувствительной кожи «Huggsy» 40шт,Детские товары,Huggsy,40,1,подгузники памперсы diapers huggsy длячувствительнойкожи,Для чувствительной кожи подгузники детские бренда Huggsy в категории детские товары.,1284.69,https://example.com/p/P0098.jpg
P0099,Стиральный порошок capsules «NordWash» 800г,Бытовая химия,NordWash,800,2,стирка порошок detergent nordwash capsules,Capsules стиральный порошок бренда NordWash в категории бытовая химия.,745.59,https://example.com/p/P0099.jpg
P0100,Power Bank wireless «HyperCell» 1шт,Электроника,HyperCell,1,1,power bank 20000 быстрая зарядка hypercell wireless,Wireless power bank бренда HyperCell в категории электроника.,2817.46,https://example.com/p/P0100.jpg
P0101,Филе грудки индейки для стейков «Chef's Choice» 5кг,Мясо и птица,Chef's Choice,5,2,филе индейка turkey fillet chef's choice длястейков,Для стейков филе грудки индейки бренда Chef's Choice в категории мясо и птица.,1474.90,https://example.com/p/P0101.jpg
P0102,Масло оливковое Classico «Oro Verde» 500мл,Бакалея,Oro Verde,500,2,масло оливковое olive oil oro verde classico,Classico масло оливковое бренда Oro Verde в категории бакалея.,2255.73,https://example.com/p/P0102.jpg
P0103,Корм для кошек сухой hairball «CatCraft» 10кг,Зоотовары,CatCraft,10,4,корм кошек cat food adult catcraft hairball,Hairball корм для кошек сухой бренда CatCraft в категории зоотовары.,2406.05,https://example.com/p/P0103.jpg
P0104,Полотенца бумажные mega roll «MaxiRoll» 6шт,Хозяйственные товары,MaxiRoll,6,1,бумажные полотенца paper towels maxiroll megaroll,Mega roll полотенца бумажные бренда MaxiRoll в категории хозяйственные товары.,120.14,https://example.com/p/P0104.jpg
P0105,Чай листовой чёрный «Samokat» 90г,Кофе и чай,Samokat,90,1,чай листовой tea xfq samokat чёрный,Чёрный чай листовой бренда Samokat в категории кофе и чай.,592.71,https://example.com/p/P0105.jpg
P0106,Гель для душа увлажняющий «AquaVera» 500мл,Косметика и гигиена,AquaVera,500,1,гель душ body wash aquavera увлажняющий,Увлажняющий гель для душа бренда AquaVera в категории косметика и гигиена.,229.28,https://example.com/p/P0106.jpg
P0107,Средство для мытья посуды professional «Clean&Shine» 1000мл,Бытовая химия,Clean&Shine,1000,1,моющее посуд dish посудомойка clean&shine professional,Professional средство для мытья посуды бренда Clean&Shine в категории бытовая химия.,352.78,https://example.com/p/P0107.jpg
P0108,Зубная паста sensitive «HerbalDent» 75мл,Косметика и гигиена,HerbalDent,75,1,зубная паста toothpaste herbaldent sensitive,Sensitive зубная паста бренда HerbalDent в категории косметика и гигиена.,251.79,https://example.com/p/P0108.jpg
P0109,Вино игристое riesling mosel «Premium Cellar» 750мл,Алкоголь,Premium Cellar,750,1,вино prosecco riesling premium premium cellar rieslingmosel,Riesling mosel вино игристое бренда Premium Cellar в категории алкоголь.,1650.95,https://example.com/p/P0109.jpg
P0110,Вино игристое prosecco «Prosecco Alto» 1500мл,Алкоголь,Prosecco Alto,1500,1,вино prosecco riesling premium prosecco alto,Prosecco вино игристое бренда Prosecco Alto в категории алкоголь.,2757.64,https://example.com/p/P0110.jpg
P0111,Салат готовый оливье «FreshBar» 300г,Готовая еда,FreshBar,300,1,салат готовый salad freshbar оливье,Оливье салат готовый бренда FreshBar в категории готовая еда.,181.52,https://example.com/p/P0111.jpg
P0112,Подгузники детские для чувствительной кожи «BabySoft» 96шт,Детские товары,BabySoft,96,4,подгузники памперсы diapers babysoft длячувствительнойкожи,Для чувствительной кожи подгузники детские бренда BabySoft в категории детские товары.,1821.24,https://example.com/p/P0112.jpg
P0113,Мармелад жевательный mix «KidsBox» 150г,Кондитерские изделия,KidsBox,150,12,мармелад bon paris gummies kidsbox mix,Mix мармелад жевательный бренда KidsBox в категории кондитерские изделия.,238.10,https://example.com/p/P0113.jpg
P0114,Средство для мытья посуды professional «Clean&Shine» 750мл,Бытовая химия,Clean&Shine,750,6,моющее посуд dish посудомойка clean&shine professional,Professional средство для мытья посуды бренда Clean&Shine в категории бытовая химия.,138.30,https://example.com/p/P0114.jpg
P0115,Лапша быстрого приготовления курица «StreetWok» 75г,Бакалея,StreetWok,75,24,лапша инстант ramen streetwok курица,Курица лапша быстрого приготовления бренда StreetWok в категории бакалея.,41.38,https://example.com/p/P0115.jpg
P0116,Масло сливочное безлактозное «Teos» 1кг,Молочные продукты,Teos,1,1,масло сливочное butter teos безлактозное,Безлактозное масло сливочное бренда Teos в категории молочные продукты.,381.17,https://example.com/p/P0116.jpg
P0117,Рыба минтай блок без глазури «ChefPro» 5кг,Заморозка,ChefPro,5,1,рыба минтай block chefpro безглазури,Без глазури рыба минтай блок бренда ChefPro в категории заморозка.,3476.49,https://example.com/p/P0117.jpg
P0118,Батарейки AA pro «PowerMax» 4шт,Хозяйственные товары,PowerMax,4,6,батарейки aa lr6 powermax pro,Pro батарейки aa бренда PowerMax в категории хозяйственные товары.,157.48,https://example.com/p/P0118.jpg
P0119,Гель для душа увлажняющий «Daily Ritual» 400мл,Косметика и гигиена,Daily Ritual,400,3,гель душ body wash daily ritual увлажняющий,Увлажняющий гель для душа бренда Daily Ritual в категории косметика и гигиена.,313.81,https://example.com/p/P0119.jpg
